113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,113,114,115,116,117,118,119,120,121,122,123,124
226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,226,227,228,229,230,231,232,233,234,235,236,237
339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,339,340,341,342,343,344,345,346,347,348,349,350
452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,452,453,454,455,456,457,458,459,460,461,462,463
565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,565,566,567,568,569,570,571,572,573,574,575,576
678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,678,679,680,681,682,683,684,685,686,687,688,689
791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,808,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,808,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,808,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,791,792,793,794,795,796,797,798,799,800,801,802
904,905,906,907,908,909,910,911,912,913,914,915,916,917,918,919,920,921,791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,808,904,905,906,907,908,909,910,911,912,913,914,915,916,917,918,919,920,921,791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,808,904,905,906,907,908,909,910,911,912,913,914,915,916,917,918,919,920,921,791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,808,904,905,906,907,908,909,910,911,912,913,914,915
1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,904,905,906,907,908,909,910,911,912,913,914,915,916,917,918,919,920,921,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,904,905,906,907,908,909,910,911,912,913,914,915,916,917,918,919,920,921,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,904,905,906,907,908,909,910,911,912,913,914,915,916,917,918,919,920,921,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028
1130,1131,1132,1133,1134,1135,1136,1137,1138,1139,1140,1141,1142,1143,1144,1145,1146,1147,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1130,1131,1132,1133,1134,1135,1136,1137,1138,1139,1140,1141,1142,1143,1144,1145,1146,1147,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1130,1131,1132,1133,1134,1135,1136,1137,1138,1139,1140,1141,1142,1143,1144,1145,1146,1147,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1130,1131,1132,1133,1134,1135,1136,1137,1138,1139,1140,1141
